Format,2.0A,
Memory Length,5000,
Trigger Level,336mV,
Source,CH1,
Label,ENAA,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,-5.600E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-2.500E-04,
Horizontal Mode,Main,
Sampling Period,4.000E-08,
Firmware,V1.13,
Time,06-Dec-23 23:57:55,
Mode,Detail,
Waveform Data,,
-3.220000e-04,0.076000,
-3.219600e-04,0.076000,
-3.219200e-04,0.076000,
-3.218800e-04,0.076000,
-3.218400e-04,0.076000,
-3.218000e-04,0.076000,
-3.217600e-04,0.076000,
-3.217200e-04,0.076000,
-3.216800e-04,0.076000,
-3.216400e-04,0.076000,
-3.216000e-04,0.076000,
-3.215600e-04,0.076000,
-3.215200e-04,0.076000,
-3.214800e-04,0.076000,
-3.214400e-04,0.076000,
-3.214000e-04,0.076000,
-3.213600e-04,0.076000,
-3.213200e-04,0.076000,
-3.212800e-04,0.076000,
-3.212400e-04,0.076000,
-3.212000e-04,0.076000,
-3.211600e-04,0.076000,
-3.211200e-04,0.076000,
-3.210800e-04,0.076000,
-3.210400e-04,0.076000,
-3.210000e-04,0.076000,
-3.209600e-04,0.076000,
-3.209200e-04,0.076000,
-3.208800e-04,0.076000,
-3.208400e-04,0.076000,
-3.208000e-04,0.076000,
-3.207600e-04,0.076000,
-3.207200e-04,0.076000,
-3.206800e-04,0.076000,
-3.206400e-04,0.076000,
-3.206000e-04,0.076000,
-3.205600e-04,0.076000,
-3.205200e-04,0.076000,
-3.204800e-04,0.076000,
-3.204400e-04,0.076000,
-3.204000e-04,0.076000,
-3.203600e-04,0.076000,
-3.203200e-04,0.076000,
-3.202800e-04,0.076000,
-3.202400e-04,0.076000,
-3.202000e-04,0.076000,
-3.201600e-04,0.076000,
-3.201200e-04,0.076000,
-3.200800e-04,0.076000,
-3.200400e-04,0.076000,
-3.200000e-04,0.076000,
-3.199600e-04,0.076000,
-3.199200e-04,0.076000,
-3.198800e-04,0.076000,
-3.198400e-04,0.076000,
-3.198000e-04,0.076000,
-3.197600e-04,0.076000,
-3.197200e-04,0.076000,
-3.196800e-04,0.076000,
-3.196400e-04,0.076000,
-3.196000e-04,0.076000,
-3.195600e-04,0.076000,
-3.195200e-04,0.076000,
-3.194800e-04,0.076000,
-3.194400e-04,0.076000,
-3.194000e-04,0.076000,
-3.193600e-04,0.076000,
-3.193200e-04,0.076000,
-3.192800e-04,0.076000,
-3.192400e-04,0.076000,
-3.192000e-04,0.076000,
-3.191600e-04,0.076000,
-3.191200e-04,0.076000,
-3.190800e-04,0.076000,
-3.190400e-04,0.076000,
-3.190000e-04,0.076000,
-3.189600e-04,0.076000,
-3.189200e-04,0.076000,
-3.188800e-04,0.076000,
-3.188400e-04,0.076000,
-3.188000e-04,0.076000,
-3.187600e-04,0.076000,
-3.187200e-04,0.076000,
-3.186800e-04,0.076000,
-3.186400e-04,0.076000,
-3.186000e-04,0.076000,
-3.185600e-04,0.076000,
-3.185200e-04,0.076000,
-3.184800e-04,0.076000,
-3.184400e-04,0.076000,
-3.184000e-04,0.076000,
-3.183600e-04,0.076000,
-3.183200e-04,0.076000,
-3.182800e-04,0.076000,
-3.182400e-04,0.076000,
-3.182000e-04,0.076000,
-3.181600e-04,0.076000,
-3.181200e-04,0.076000,
-3.180800e-04,0.076000,
-3.180400e-04,0.076000,
-3.180000e-04,0.076000,
-3.179600e-04,0.076000,
-3.179200e-04,0.076000,
-3.178800e-04,0.076000,
-3.178400e-04,0.076000,
-3.178000e-04,0.076000,
-3.177600e-04,0.076000,
-3.177200e-04,0.076000,
-3.176800e-04,0.076000,
-3.176400e-04,0.076000,
-3.176000e-04,0.076000,
-3.175600e-04,0.076000,
-3.175200e-04,0.076000,
-3.174800e-04,0.076000,
-3.174400e-04,0.076000,
-3.174000e-04,0.076000,
-3.173600e-04,0.076000,
-3.173200e-04,0.076000,
-3.172800e-04,0.076000,
-3.172400e-04,0.076000,
-3.172000e-04,0.076000,
-3.171600e-04,0.076000,
-3.171200e-04,0.076000,
-3.170800e-04,0.076000,
-3.170400e-04,0.076000,
-3.170000e-04,0.076000,
-3.169600e-04,0.076000,
-3.169200e-04,0.076000,
-3.168800e-04,0.076000,
-3.168400e-04,0.076000,
-3.168000e-04,0.076000,
-3.167600e-04,0.076000,
-3.167200e-04,0.076000,
-3.166800e-04,0.076000,
-3.166400e-04,0.076000,
-3.166000e-04,0.076000,
-3.165600e-04,0.076000,
-3.165200e-04,0.076000,
-3.164800e-04,0.076000,
-3.164400e-04,0.076000,
-3.164000e-04,0.076000,
-3.163600e-04,0.076000,
-3.163200e-04,0.076000,
-3.162800e-04,0.076000,
-3.162400e-04,0.076000,
-3.162000e-04,0.076000,
-3.161600e-04,0.076000,
-3.161200e-04,0.076000,
-3.160800e-04,0.076000,
-3.160400e-04,0.076000,
-3.160000e-04,0.076000,
-3.159600e-04,0.076000,
-3.159200e-04,0.076000,
-3.158800e-04,0.076000,
-3.158400e-04,0.076000,
-3.158000e-04,0.076000,
-3.157600e-04,0.076000,
-3.157200e-04,0.076000,
-3.156800e-04,0.076000,
-3.156400e-04,0.076000,
-3.156000e-04,0.076000,
-3.155600e-04,0.076000,
-3.155200e-04,0.076000,
-3.154800e-04,0.076000,
-3.154400e-04,0.076000,
-3.154000e-04,0.076000,
-3.153600e-04,0.076000,
-3.153200e-04,0.076000,
