Vernier Format 2
Lab_RT.cmbl 17/11/2023 16:42:19 ,
Latest
Time	Potential 1	Potential 2	Potential 3	Potential 4	R1	R2	R3	Temp	R1/R10	R2/R20	R3/R30
t	Pot 1	Pot 2	Pot 3	Pot 4	CC	CC	CC	CC	CC	CC	CC
s	V	V	V	V	Ω	Ω	Ω	K			
1980	0,437118	0,01221	0,677656	1,14652	43,7118	1,221	0,677656	114,652	0,325159188289	0,194798978941	0,290839484979
1990	0,435897	0,01221	0,673993	1,14286	43,5897	1,221	0,673993	114,286	0,324250922399	0,194798978941	0,289267381974
2000	0,434676	0,010989	0,671551	1,13919	43,4676	1,0989	0,671551	113,919	0,32334265651	0,175319081047	0,288219313305
2010	0,432234	0,01221	0,667888	1,13675	43,2234	1,221	0,667888	113,675	0,321526124732	0,194798978941	0,2866472103
2020	0,429792	0,01221	0,664225	1,13431	42,9792	1,221	0,664225	113,431	0,319709592954	0,194798978941	0,285075107296
2030	0,428571	0,01221	0,661783	1,13065	42,8571	1,221	0,661783	113,065	0,318801327065	0,194798978941	0,284027038627
2040	0,426129	0,01221	0,659341	1,12821	42,6129	1,221	0,659341	112,821	0,316984795287	0,194798978941	0,282978969957
2050	0,424908	0,010989	0,655678	1,12454	42,4908	1,0989	0,655678	112,454	0,316076529398	0,175319081047	0,281406866953
2060	0,423687	0,010989	0,653236	1,1221	42,3687	1,0989	0,653236	112,21	0,315168263509	0,175319081047	0,280358798283
2070	0,421245	0,010989	0,650794	1,11966	42,1245	1,0989	0,650794	111,966	0,313351731731	0,175319081047	0,279310729614
2080	0,420024	0,010989	0,647131	1,11722	42,0024	1,0989	0,647131	111,722	0,312443465841	0,175319081047	0,277738626609
2090	0,418803	0,010989	0,644689	1,11477	41,8803	1,0989	0,644689	111,477	0,311535199952	0,175319081047	0,27669055794
2100	0,417582	0,010989	0,642247	1,11233	41,7582	1,0989	0,642247	111,233	0,310626934063	0,175319081047	0,27564248927
2110	0,416361	0,010989	0,639805	1,10989	41,6361	1,0989	0,639805	110,989	0,309718668174	0,175319081047	0,274594420601
2120	0,41514	0,010989	0,637363	1,10745	41,514	1,0989	0,637363	110,745	0,308810402285	0,175319081047	0,273546351931
2130	0,412698	0,010989	0,634921	1,10501	41,2698	1,0989	0,634921	110,501	0,306993870507	0,175319081047	0,272498283262
2140	0,411477	0,010989	0,632479	1,10379	41,1477	1,0989	0,632479	110,379	0,306085604618	0,175319081047	0,271450214592
